Neighbourhoods,Sold under 10d,Sold above asking,Average sale price,Active listings
Agincourt North,28%,31%,703000,5
Humber Summit,24%,24%,648000,11
Kingsview Village-The Westway,30%,30%,619000,21
Thistletown-Beaumonde Heights,14%,21%,855000,8
West Hill,28%,26%,663000,22
Agincourt South-Malvern West,30%,25%,676000,25
Humber Heights,34%,17%,689000,12
Keelesdale-Eglinton West,26%,30%,711000,6
Steeles,24%,20%,740000,11
Westminster-Branson,15%,15%,620000,22
Bayview Village,30%,30%,740000,78
Bridle Path-Sunnybrook-York Mills,14%,5%,3500000,60
Clanton Park,31%,23%,911000,14
Englemount-Lawrence,30%,19%,1100000,18
Maple Leaf,28%,6%,1000000,4
Banbury-Don Mills,28%,22%,958000,51
Casa Loma,33%,23%,1400000,20
L'Amoreaux,27%,33%,642000,30
Newtonbrook West,22%,22%,1000000,37
Bathurst Manor,33%,19%,946000,13
Elms-Old Rexdale,30%,25%,560000,10
Mount Olive-Silverstone-Jamestown,22%,22%,480000,17
Willowdale East,29%,18%,862000,139
Bay Street Corridor,28%,20%,789000,101
Brookhaven-Amesbury,21%,24%,695000,7
Pleasant View,28%,33%,886000,7
Yorkdale-Glen Park,30%,21%,635000,32
Bedford Park-Nortown,31%,18%,1700000,40
Etobicoke West Mall,29%,31%,569000,12
Willowdale West,20%,19%,1200000,50
York University Heights,24%,29%,652000,16
Bayview Woods-Steeles,35%,12%,926000,13
Don Valley Village,23%,32%,781000,23
Morningside,22%,44%,563000,8
Weston,20%,17%,669000,13
Black Creek,19%,14%,430000,10
Hillcrest Village,25%,25%,804000,18
Malvern,30%,28%,532000,22
West Humber-Clairville,28%,26%,648000,23
Forest Hill North,33%,17%,1500000,2
Humberlea-Pelmo Park W5,31%,17%,660000,17
Kennedy Park,22%,33%,661000,16
St. Andrew-Windfields,21%,7%,2200000,75
Alderwood,52%,48%,1100000,15
Annex,41%,33%,1400000,84
Beechborough-Greenbrook,56%,44%,950000,4
Bendale,55%,48%,663000,8
Birchcliffe-Cliffside,50%,41%,857000,41
Blake-Jones,79%,64%,1200000,1
Briar Hill-Belgravia,31%,34%,692000,11
Broadview North,54%,46%,1100000,1
Cabbagetown-South St. James Town,63%,50%,968000,7
Caledonia-Fairbank,44%,44%,907000,7
Centennial Scarborough,48%,42%,834000,5
Church-Yonge Corridor,37%,34%,764000,96
Clairlea-Birchmount,51%,52%,860000,10
Cliffcrest,43%,40%,893000,14
Corso Italia-Davenport,53%,38%,1100000,10
Crescent Town,37%,27%,478000,7
Danforth,81%,75%,1300000,3
Danforth Village-East York,59%,66%,1100000,12
Dorset Park,38%,37%,542000,9
Dovercourt-Wallace Emerson-Junction,60%,54%,936000,11
Downsview-Roding-CFB,37%,32%,722000,52
Dufferin Grove,43%,60%,1200000,4
East End-Danforth,65%,59%,980000,7
East York,59%,53%,1100000,8
Edenbridge-Humber Valley,39%,30%,1500000,29
Eglinton East,37%,42%,642000,18
Eringate-Centennial-West Deane,44%,41%,799000,12
Flemingdon Park,59%,35%,441000,10
Forest Hill South,37%,17%,3500000,19
Glenfield-Jane Heights,35%,37%,607000,10
Greenwood-Coxwell,75%,74%,1000000,6
Guildwood,42%,24%,778000,10
Henry Farm,41%,29%,518000,13
High Park North,66%,66%,1300000,7
High Park-Swansea,48%,43%,946000,16
Highland Creek,33%,26%,977000,19
Humberlea-Pelmo Park W4,33%,33%,859000,9
Humbermede,41%,45%,636000,5
Humewood-Cedarvale,64%,52%,1500000,7
Islington-City Centre West,42%,35%,634000,39
Junction Area,51%,61%,872000,12
Kensington-Chinatown,44%,38%,794000,14
Kingsway South,43%,28%,1600000,17
Lambton Baby Point,33%,22%,1400000,4
Lansing-Westgate,35%,18%,1100000,27
Lawrence Park North,54%,39%,1900000,7
Lawrence Park South,50%,26%,2600000,19
Leaside,52%,48%,1400000,27
Little Portugal,47%,51%,810000,13
Long Branch,40%,31%,779000,34
Markland Wood,37%,23%,776000,10
Milliken,27%,42%,682000,8
Mimico,34%,30%,732000,108
Moss Park,53%,41%,904000,17
Mount Dennis,33%,22%,593000,17
Mount Pleasant East,56%,45%,1300000,23
Mount Pleasant West,41%,28%,781000,30
New Toronto,46%,38%,840000,5
Newtonbrook East,33%,30%,1200000,39
Niagara,58%,51%,697000,54
North Riverdale,89%,85%,1400000,6
North St. James Town,53%,32%,805000,6
Oakridge,36%,44%,824000,10
Oakwood-Vaughan,54%,48%,1100000,14
O'Connor-Parkview,49%,54%,877000,10
Palmerston-Little Italy,63%,66%,1700000,11
Parkwoods-Donalda,45%,35%,792000,22
Playter Estates-Danforth,89%,83%,1800000,1
Princess-Rosethorn,37%,37%,1700000,13
Regent Park,52%,55%,673000,7
Rexdale-Kipling,33%,27%,676000,5
Rockcliffe-Smythe,39%,36%,717000,10
Roncesvalles,59%,59%,1200000,6
Rosedale-Moore Park,37%,24%,1800000,34
Rouge E10,41%,15%,805000,7
Rouge E11,29%,41%,687000,15
Runnymede-Bloor West Village,71%,60%,1300000,4
Rustic,50%,25%,919000,2
Scarborough Village,32%,28%,626000,13
South Parkdale,50%,41%,1100000,6
South Riverdale,73%,64%,1000000,10
Stonegate-Queensway,43%,29%,1300000,22
Tam O'Shanter-Sullivan,48%,43%,705000,15
The Beaches,52%,52%,1400000,20
Thorncliffe Park,42%,67%,561000,2
Trinity-Bellwoods,56%,61%,1100000,15
University,47%,37%,953000,7
Victoria Village,40%,32%,724000,5
Waterfront Communities C1,42%,34%,759000,233
Waterfront Communities C8,46%,43%,746000,36
Weston-Pellam Park,52%,58%,831000,6
Wexford-Maryvale,39%,42%,774000,16
Willowridge-Martingrove-Richview,44%,50%,780000,10
Woburn,42%,45%,669000,14
Woodbine Corridor,55%,64%,1000000,4
Woodbine-Lumsden,63%,74%,1000000,3
Wychwood,58%,61%,1400000,3
Yonge-Eglinton,46%,29%,1400000,4
Yonge-St. Clair,41%,15%,2000000,19
